trace,l1_fraction,l2_multiplier,policy,seed,window,selector,arrival_rejection,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi3,4,600,lru,False,1,6656.0,6656,6656.0,6656,0.0,1.0,0,19456.0,0.0686881188118812
conversation_trace,0.0025,1,pi3,4,600,lru,True,7,10496.857142857143,9347,18124.800000000003,24576,0.0,1.0,0,31835.85714285714,-0.15831852241122069
conversation_trace,0.0025,1,pi3,4,600,next_use,False,1,6656.0,6656,6656.0,6656,0.0,1.0,0,19456.0,0.3798123783127409
conversation_trace,0.0025,1,pi3,4,600,next_use,True,7,10496.857142857143,9347,18124.800000000003,24576,0.0,1.0,0,31835.85714285714,0.20434968029562545
conversation_trace,0.0025,1,pi3,4,end,count,False,1,6656.0,6656,6656.0,6656,0.0,1.0,0,18944.0,0.2735331939220199
conversation_trace,0.0025,1,pi3,4,end,count,True,7,17865.571428571428,17920,28519.600000000006,35971,0.0,1.0,0,38107.42857142857,0.21892569596581152
conversation_trace,0.0025,1,pi3,4,end,learned,False,1,0.0,0,0.0,0,1.0,0.0,0,18944.0,0.0036946261089631292
conversation_trace,0.0025,1,pi3,4,end,learned,True,7,6746.142857142857,4477,15229.0,16765,0.42857142857142855,0.5714285714285714,0,38107.42857142857,0.10124736784603547
conversation_trace,0.0025,1,pi3,4,end,lfu,False,1,0.0,0,0.0,0,1.0,0.0,0,18944.0,0.07085860525690982
conversation_trace,0.0025,1,pi3,4,end,lfu,True,7,4351.142857142857,0,12747.6,14205,0.5714285714285714,0.42857142857142855,0,38107.42857142857,0.15201336716654745
conversation_trace,0.0025,1,pi3,4,end,lru,False,1,6656.0,6656,6656.0,6656,0.0,1.0,0,18944.0,0.017945544554455448
conversation_trace,0.0025,1,pi3,4,end,lru,True,7,17865.571428571428,17920,28519.600000000006,35971,0.0,1.0,0,38107.42857142857,-0.22420800839574553
conversation_trace,0.0025,1,pi3,4,end,next_use,False,1,6656.0,6656,6656.0,6656,0.0,1.0,0,18944.0,0.3667827941510688
conversation_trace,0.0025,1,pi3,4,end,next_use,True,7,17865.571428571428,17920,28519.600000000006,35971,0.0,1.0,0,38107.42857142857,0.227343902510796
conversation_trace,0.02,4,pi0,0,600,count,False,8,51810.875,41411.5,91505.5,98334,0.0,1.0,0,115728.5,0.20111217597202063
conversation_trace,0.02,4,pi0,0,600,learned,False,8,84070.5,86170.5,111749.59999999999,126976,0.0,1.0,0,115728.5,-0.09252450980392157
conversation_trace,0.02,4,pi0,0,600,lfu,False,8,58488.5,62369.5,96189.5,100743,0.0,1.0,0,115728.5,-0.027446303187606744
conversation_trace,0.02,4,pi0,0,600,lru,False,8,51810.875,41411.5,91505.5,98334,0.0,1.0,0,115728.5,0.045930933590841154
conversation_trace,0.02,4,pi0,0,600,next_use,False,8,51810.875,41411.5,91505.5,98334,0.0,1.0,0,115728.5,0.1972491025285354
conversation_trace,0.02,4,pi0,0,end,count,False,8,67554.375,81527.0,112189.0,116935,0.0,1.0,0,148982.875,0.17690902424212437
conversation_trace,0.02,4,pi0,0,end,learned,False,8,117505.25,114154.0,166284.8,171826,0.0,1.0,0,148982.875,-0.13511029411764708
conversation_trace,0.02,4,pi0,0,end,lfu,False,8,82934.5,73656.0,136477.4,171826,0.0,1.0,0,148982.875,-0.016081807952906896
conversation_trace,0.02,4,pi0,0,end,lru,False,8,67554.375,81527.0,112189.0,116935,0.0,1.0,0,148982.875,-0.11157925752730129
conversation_trace,0.02,4,pi0,0,end,next_use,False,8,67554.375,81527.0,112189.0,116935,0.0,1.0,0,148982.875,0.182826029948033
conversation_trace,0.02,4,pi0,1,600,count,False,8,46145.25,41928.0,76887.09999999999,86489,0.125,0.875,0,137475.25,0.13754085771293675
conversation_trace,0.02,4,pi0,1,600,learned,False,8,69437.0,75869.5,92956.5,107520,0.0,1.0,0,137475.25,0.11768990025115482
conversation_trace,0.02,4,pi0,1,600,lfu,False,8,68562.625,66554.0,106464.9,110086,0.0,1.0,0,137475.25,0.10424609161143732
conversation_trace,0.02,4,pi0,1,600,lru,False,8,46145.25,41928.0,76887.09999999999,86489,0.125,0.875,0,137475.25,0.07160775667717925
conversation_trace,0.02,4,pi0,1,600,next_use,False,8,46145.25,41928.0,76887.09999999999,86489,0.125,0.875,0,137475.25,0.1520956258705
conversation_trace,0.02,4,pi0,1,end,count,False,8,75948.0,45704.5,150766.69999999995,278544,0.125,0.875,0,196641.875,0.11383586254654557
conversation_trace,0.02,4,pi0,1,end,learned,False,8,93155.625,89468.0,159050.8,159104,0.0,1.0,0,196641.875,0.0968533726008494
conversation_trace,0.02,4,pi0,1,end,lfu,False,8,103509.0,108770.0,160685.3,164375,0.0,1.0,0,196641.875,0.017765207009610255
conversation_trace,0.02,4,pi0,1,end,lru,False,8,75948.0,45704.5,150766.69999999995,278544,0.125,0.875,0,196641.875,0.21262084888191193
conversation_trace,0.02,4,pi0,1,end,next_use,False,8,75948.0,45704.5,150766.69999999995,278544,0.125,0.875,0,196641.875,0.12013370361551975
conversation_trace,0.02,4,pi0,2,600,count,False,8,51943.25,42838.0,114858.7,136145,0.125,0.875,0,143960.0,-0.040822278783299505
conversation_trace,0.02,4,pi0,2,600,learned,False,8,26569.625,26316.0,56248.7,61470,0.25,0.75,0,143960.0,0.09317276819065026
conversation_trace,0.02,4,pi0,2,600,lfu,False,8,51972.625,46258.5,99320.5,112687,0.125,0.875,0,143960.0,-0.03344874048418606
conversation_trace,0.02,4,pi0,2,600,lru,False,8,51943.25,42838.0,114858.7,136145,0.125,0.875,0,143960.0,0.062270394827818105
conversation_trace,0.02,4,pi0,2,600,next_use,False,8,51943.25,42838.0,114858.7,136145,0.125,0.875,0,143960.0,-0.016025321161766012
conversation_trace,0.02,4,pi0,2,end,count,False,8,75548.0,84377.0,144948.4,183174,0.25,0.75,0,201699.875,0.07651656357264983
conversation_trace,0.02,4,pi0,2,end,learned,False,8,20493.875,14205.5,44824.1,55357,0.375,0.625,0,201699.875,0.07138480392156864
conversation_trace,0.02,4,pi0,2,end,lfu,False,8,63794.0,47615.0,159330.3,189844,0.25,0.75,0,201699.875,-0.03193029543886449
conversation_trace,0.02,4,pi0,2,end,lru,False,8,75548.0,84377.0,144948.4,183174,0.25,0.75,0,201699.875,0.0549884835864897
conversation_trace,0.02,4,pi0,2,end,next_use,False,8,75548.0,84377.0,144948.4,183174,0.25,0.75,0,201699.875,0.08873188840795958
conversation_trace,0.02,4,pi0,3,600,count,False,8,46785.75,53776.5,77351.3,83764,0.0,1.0,0,113296.625,0.09689794589724751
conversation_trace,0.02,4,pi0,3,600,learned,False,8,55843.875,60241.0,86113.6,91596,0.0,1.0,0,113296.625,-0.03029966205687563
conversation_trace,0.02,4,pi0,3,600,lfu,False,8,37989.5,39317.5,50758.6,56367,0.0,1.0,0,113296.625,0.15882561219983954
conversation_trace,0.02,4,pi0,3,600,lru,False,8,46785.75,53776.5,77351.3,83764,0.0,1.0,0,113296.625,-0.23277431898972745
conversation_trace,0.02,4,pi0,3,600,next_use,False,8,46785.75,53776.5,77351.3,83764,0.0,1.0,0,113296.625,0.08768135885133288
conversation_trace,0.02,4,pi0,3,end,count,False,8,79993.25,82179.5,134403.8,142941,0.0,1.0,0,159016.375,0.13076968873403094
conversation_trace,0.02,4,pi0,3,end,learned,False,8,82601.625,71997.0,107613.5,130745,0.0,1.0,0,159016.375,-0.04794194874311547
conversation_trace,0.02,4,pi0,3,end,lfu,False,8,57037.5,50956.0,81229.7,97700,0.0,1.0,0,159016.375,0.22920868949153006
conversation_trace,0.02,4,pi0,3,end,lru,False,8,79993.25,82179.5,134403.8,142941,0.0,1.0,0,159016.375,-0.2591949973771424
conversation_trace,0.02,4,pi0,3,end,next_use,False,8,79993.25,82179.5,134403.8,142941,0.0,1.0,0,159016.375,0.12031815975441096
conversation_trace,0.02,4,pi0,4,600,count,False,8,60172.375,57709.0,128465.0,133351,0.0,1.0,0,135170.875,-0.15092847609606314
conversation_trace,0.02,4,pi0,4,600,learned,False,8,44957.75,38420.5,64225.69999999999,99295,0.0,1.0,0,135170.875,-0.011738101647003792
