lineage,selection_hash,window,selector,captured_regret_tokens,three_stream_mean_regret_tokens,three_stream_mean_paired_diff_vs_learned_tokens
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,600,learned,31232,14848.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,600,lfu,31232,14848.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,600,lru,14336,6826.666666666667,-8021.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,600,next_use,14336,6826.666666666667,-8021.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,end,count,17920,6743.333333333333,-8533.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,end,learned,33792,15276.666666666666,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,end,lfu,33792,15276.666666666666,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,end,lru,17920,6743.333333333333,-8533.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",0001548175509776dfeea22ff78d952a7c85290cf74202fdf8e3f3979d36c551,end,next_use,17920,6743.333333333333,-8533.333333333334
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,600,count,13824,9001.666666666666,-6997.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,600,learned,24576,15999.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,600,lfu,17801,13316.0,-2683.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,600,lru,13824,9001.666666666666,-6997.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,600,next_use,13824,9001.666666666666,-6997.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,end,count,13312,9513.666666666666,-6485.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,end,learned,27136,15999.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,end,lfu,18313,15193.333333333334,-805.6666666666666
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,end,lru,13312,9513.666666666666,-6485.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=0",00037ae1bff0df4485ea59febcc4c258aa0999b8dbc854dc1b50660dc5d3988f,end,next_use,13312,9513.666666666666,-6485.333333333333
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,600,count,15360,9045.333333333334,512.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,600,learned,13312,8533.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,600,lfu,13312,8533.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,600,lru,10240,20821.333333333332,12288.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,600,next_use,15360,9045.333333333334,512.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,end,count,15360,9045.333333333334,512.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,end,learned,13312,8533.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,end,lfu,13312,8533.333333333334,0.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,end,lru,10240,20821.333333333332,12288.0
"conversation_trace|l1=0.0025,l2x1|pi3|s=1",000019749d2b9a3ba4468d4e4a5e4ac817f927d633bb439ccc3f3b0701e3fdb3,end,next_use,15360,9045.333333333334,512.0
