trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,2,2,end,lru,2,25088.0,25088.0,40652.8,44544,0.0,1.0,0,58112.0,-0.34360628799837933
conversation_trace,0.0025,1,pi0,2,2,end,next_use,2,31744.0,31744.0,41984.0,44544,0.0,1.0,0,58112.0,0.27083735667674
conversation_trace,0.0025,1,pi0,3,0,600,count,8,32576.0,33024.0,47923.2,55808,0.0,1.0,0,52736.0,0.25528618416684046
conversation_trace,0.0025,1,pi0,3,0,600,learned,8,12224.0,11776.0,24627.2,27136,0.375,0.625,0,52736.0,0.10029726414398354
conversation_trace,0.0025,1,pi0,3,0,600,lfu,8,13760.0,16384.0,24627.2,27136,0.25,0.75,0,52736.0,0.11008463063234968
conversation_trace,0.0025,1,pi0,3,0,600,lru,8,28736.0,27648.0,46489.6,55808,0.0,1.0,0,52736.0,-0.04638281508365339
conversation_trace,0.0025,1,pi0,3,0,600,next_use,8,32576.0,33024.0,47923.2,55808,0.0,1.0,0,52736.0,0.22351242632606214
conversation_trace,0.0025,1,pi0,3,0,end,count,8,43264.0,46336.0,57856.0,57856,0.0,1.0,0,73664.0,0.2226160077742773
conversation_trace,0.0025,1,pi0,3,0,end,learned,8,5952.0,0.0,17254.399999999998,24064,0.625,0.375,0,73664.0,0.06383125582868376
conversation_trace,0.0025,1,pi0,3,0,end,lfu,8,13696.0,11776.0,28211.199999999997,37888,0.375,0.625,0,73664.0,0.15447866877961233
conversation_trace,0.0025,1,pi0,3,0,end,lru,8,40512.0,45056.0,51660.8,52736,0.0,1.0,0,73664.0,-0.2217379548816505
conversation_trace,0.0025,1,pi0,3,0,end,next_use,8,43264.0,46336.0,57856.0,57856,0.0,1.0,0,73664.0,0.2156366175840746
conversation_trace,0.0025,1,pi0,3,1,600,count,2,24832.0,24832.0,25036.8,25088,0.0,1.0,0,58368.0,0.2195721427235393
conversation_trace,0.0025,1,pi0,3,1,600,learned,2,37376.0,37376.0,47206.4,49664,0.0,1.0,0,58368.0,-0.1410585807657772
conversation_trace,0.0025,1,pi0,3,1,600,lfu,2,37376.0,37376.0,47206.4,49664,0.0,1.0,0,58368.0,0.12171168412461263
conversation_trace,0.0025,1,pi0,3,1,600,lru,2,24832.0,24832.0,25036.8,25088,0.0,1.0,0,58368.0,-0.015149617045078393
conversation_trace,0.0025,1,pi0,3,1,600,next_use,2,24832.0,24832.0,25036.8,25088,0.0,1.0,0,58368.0,0.20039080988723584
conversation_trace,0.0025,1,pi0,3,1,end,count,2,22784.0,22784.0,34867.2,37888,0.0,1.0,0,85504.0,0.09084491378613524
conversation_trace,0.0025,1,pi0,3,1,end,learned,2,39168.0,39168.0,63948.8,70144,0.0,1.0,0,85504.0,-0.0780104016253067
conversation_trace,0.0025,1,pi0,3,1,end,lfu,2,39168.0,39168.0,63948.8,70144,0.0,1.0,0,85504.0,0.1780326207228856
conversation_trace,0.0025,1,pi0,3,1,end,lru,2,22784.0,22784.0,34867.2,37888,0.0,1.0,0,85504.0,0.019187948691571928
conversation_trace,0.0025,1,pi0,3,1,end,next_use,2,22784.0,22784.0,34867.2,37888,0.0,1.0,0,85504.0,0.14167523570158744
conversation_trace,0.0025,1,pi0,3,2,600,count,2,14336.0,14336.0,25804.8,28672,0.5,0.5,0,51712.0,0.22169360996069168
conversation_trace,0.0025,1,pi0,3,2,600,learned,2,20480.0,20480.0,31539.2,34304,0.0,1.0,0,51712.0,0.37210958024804636
conversation_trace,0.0025,1,pi0,3,2,600,lfu,2,20480.0,20480.0,31539.2,34304,0.0,1.0,0,51712.0,0.16145420246463635
conversation_trace,0.0025,1,pi0,3,2,600,lru,2,14336.0,14336.0,25804.8,28672,0.5,0.5,0,51712.0,0.07822504317189773
conversation_trace,0.0025,1,pi0,3,2,600,next_use,2,14336.0,14336.0,25804.8,28672,0.5,0.5,0,51712.0,0.07135032890732093
conversation_trace,0.0025,1,pi0,3,2,end,count,2,40960.0,40960.0,44236.8,45056,0.0,1.0,0,75264.0,-0.14740400648255933
conversation_trace,0.0025,1,pi0,3,2,end,learned,2,32768.0,32768.0,34406.4,34816,0.0,1.0,0,75264.0,0.32916052763417203
conversation_trace,0.0025,1,pi0,3,2,end,lfu,2,32768.0,32768.0,34406.4,34816,0.0,1.0,0,75264.0,-0.18649698951196814
conversation_trace,0.0025,1,pi0,3,2,end,lru,2,40960.0,40960.0,44236.8,45056,0.0,1.0,0,75264.0,0.08417052817210698
conversation_trace,0.0025,1,pi0,3,2,end,next_use,2,40960.0,40960.0,44236.8,45056,0.0,1.0,0,75264.0,-0.11306164309398342
conversation_trace,0.0025,1,pi0,4,0,600,count,8,23936.0,25088.0,36300.8,37376,0.125,0.875,0,46144.0,0.03289544718841384
conversation_trace,0.0025,1,pi0,4,0,600,learned,8,11392.0,7168.0,27238.4,28672,0.0,1.0,0,46144.0,0.13766924046488355
conversation_trace,0.0025,1,pi0,4,0,600,lfu,8,11968.0,7168.0,27238.4,28672,0.0,1.0,0,46144.0,0.07835219992153115
conversation_trace,0.0025,1,pi0,4,0,600,lru,8,25024.0,25088.0,38451.2,40960,0.125,0.875,0,46144.0,-0.17292391016004005
conversation_trace,0.0025,1,pi0,4,0,600,next_use,8,23936.0,25088.0,36300.8,37376,0.125,0.875,0,46144.0,-0.005530330512168171
conversation_trace,0.0025,1,pi0,4,0,end,count,8,27392.0,28416.0,46694.4,51712,0.125,0.875,0,52480.0,-0.021714378876014788
conversation_trace,0.0025,1,pi0,4,0,end,learned,8,14272.0,13824.0,20121.6,20480,0.0,1.0,0,52480.0,0.07472787928759755
