policy,size_model,capacity_bytes,capacity_fraction,avoided_prefill_tokens,reused_prefix_tokens,block_hit_rate,request_hit_rate,avoided_tokens_per_cache_byte,requested_tokens,requested_blocks,hit_blocks,trace,working_set_bytes,reference_working_set_bytes,effective_capacity_fraction,online_rank,gap_to_best_online_fraction,gain_vs_lru_fraction
lru,packed,892326963,0.005,71362371,71362371,0.34030164837311044,0.9985174517112844,0.07997334380671405,202940084,409616,139393,toolagent_trace,178465392640,178465392640,0.004999999998879335,5,0.06370071620972927,0.0
longest_first,packed,892326963,0.005,6384640,6384640,0.030443146752079996,0.4643764825482887,0.007155045476307097,202940084,409616,12470,toolagent_trace,178465392640,178465392640,0.004999999998879335,6,0.9162312886260644,-0.910532120632595
lfu,packed,1784653926,0.01,79201030,79201030,0.37768055935315026,0.9991528295493053,0.04437892907198861,202940084,409616,154704,toolagent_trace,178465392640,178465392640,0.00999999999775867,1,0.0,0.08893349975100595
structural,packed,1784653926,0.01,79177728,79177728,0.3775340806999727,0.9991528295493053,0.0443658721987985,202940084,409616,154644,toolagent_trace,178465392640,178465392640,0.00999999999775867,2,0.0002942133454577548,0.08861312098306318
lru_2hit,packed,1784653926,0.01,77632974,77632974,0.37023700246084135,0.9987716028464927,0.043500295978392396,202940084,409616,151655,toolagent_trace,178465392640,178465392640,0.00999999999775867,3,0.01979842938911274,0.06737432674674623
frequency_x_prefix_length,packed,1784653926,0.01,75792896,75792896,0.3613945744306863,0.9986021687563538,0.0424692400559009,202940084,409616,148033,toolagent_trace,178465392640,178465392640,0.00999999999775867,4,0.043031435323505264,0.042075128284872296
lru,packed,1784653926,0.01,72732660,72732660,0.34686389203546736,0.9987716028464927,0.040754489674655274,202940084,409616,142081,toolagent_trace,178465392640,178465392640,0.00999999999775867,5,0.08167027625777089,0.0
longest_first,packed,1784653926,0.01,6692352,6692352,0.03191037459474239,0.46640969162995594,0.00374994384205333,202940084,409616,13071,toolagent_trace,178465392640,178465392640,0.00999999999775867,6,0.9155017049652006,-0.9079869758647628
lru_2hit,packed,3569307853,0.02,86086056,86086056,0.41056501699152376,0.9989833954591664,0.024118417224125048,202940084,409616,168174,toolagent_trace,178465392640,178465392640,0.020000000001120666,1,0.0,0.12148341390866249
lfu,packed,3569307853,0.02,83045952,83045952,0.3960538650833952,0.99919518807184,0.023266682342964605,202940084,409616,162230,toolagent_trace,178465392640,178465392640,0.020000000001120666,2,0.03531470880719637,0.08187855371437759
structural,packed,3569307853,0.02,82906624,82906624,0.39531414788484825,0.99919518807184,0.023227647323925016,202940084,409616,161927,toolagent_trace,178465392640,178465392640,0.020000000001120666,3,0.036933182303066595,0.08006346253290836
frequency_x_prefix_length,packed,3569307853,0.02,78391808,78391808,0.37378666848951214,0.9986021687563538,0.02196274774508782,202940084,409616,153109,toolagent_trace,178465392640,178465392640,0.020000000001120666,4,0.08937856323676857,0.02124683767964
lru,packed,3569307853,0.02,76760882,76760882,0.3661209523065505,0.9987716028464927,0.021505817139163982,202940084,409616,149969,toolagent_trace,178465392640,178465392640,0.020000000001120666,5,0.10832386141606952,0.0
longest_first,packed,3569307853,0.02,8585014,8585014,0.04093590094136948,0.47051846831582517,0.002405232149640526,202940084,409616,16768,toolagent_trace,178465392640,178465392640,0.020000000001120666,6,0.9002740467050785,-0.8881589974435156
lru_2hit,packed,8923269632,0.05,94665770,94665770,0.45151068317643844,0.9992799051169096,0.010608865797410884,202940084,409616,184946,toolagent_trace,178465392640,178465392640,0.05,1,0.0,0.005346447649726957
lru,packed,8923269632,0.05,94162336,94162336,0.44921829225420884,0.998898678414097,0.01055244768826907,202940084,409616,184007,toolagent_trace,178465392640,178465392640,0.05,2,0.0053180151600731715,0.0
lfu,packed,8923269632,0.05,91174720,91174720,0.4348560603101441,0.9992799051169096,0.010217635884612929,202940084,409616,178124,toolagent_trace,178465392640,178465392640,0.05,3,0.036877638031148956,-0.03172835474260112
structural,packed,8923269632,0.05,91074589,91074589,0.4342701456974337,0.9992375465943748,0.010206414549370416,202940084,409616,177884,toolagent_trace,178465392640,178465392640,0.05,4,0.03793536988079218,-0.032791741700205906
frequency_x_prefix_length,packed,8923269632,0.05,83841531,83841531,0.39978907073942427,0.9986021687563538,0.009395830727711446,202940084,409616,163760,toolagent_trace,178465392640,178465392640,0.05,5,0.11434163584155076,-0.10960650976203479
longest_first,packed,8923269632,0.05,13735818,13735818,0.0655076950119136,0.4819129108776686,0.001539325669454342,202940084,409616,26833,toolagent_trace,178465392640,178465392640,0.05,6,0.8549019566417724,-0.8541261975488799
lru,packed,17846539264,0.1,106221379,106221379,0.5067721963985782,0.9992375465943748,0.005951931488155216,202940084,409616,207582,toolagent_trace,178465392640,178465392640,0.1,1,0.0,0.0
structural,packed,17846539264,0.1,99942510,99942510,0.47656585680246866,0.9992799051169096,0.005600105909698908,202940084,409616,195209,toolagent_trace,178465392640,178465392640,0.1,2,0.05911116066380573,-0.05911116066380573
lfu,packed,17846539264,0.1,99800762,99800762,0.47604097496191555,0.9993222636394442,0.0055921633053708,202940084,409616,194994,toolagent_trace,178465392640,178465392640,0.1,3,0.0604456189558601,-0.0604456189558601
lru_2hit,packed,17846539264,0.1,95575284,95575284,0.45585865786492713,0.9992799051169096,0.005355395944624079,202940084,409616,186727,toolagent_trace,178465392640,178465392640,0.1,4,0.10022553934269673,-0.10022553934269673
frequency_x_prefix_length,packed,17846539264,0.1,88901025,88901025,0.4239263114722081,0.9986021687563538,0.004981415370504407,202940084,409616,173647,toolagent_trace,178465392640,178465392640,0.1,5,0.1630590203503195,-0.1630590203503195
longest_first,packed,17846539264,0.1,25109327,25109327,0.11975362290535525,0.5262199254490003,0.0014069577652318552,202940084,409616,49053,toolagent_trace,178465392640,178465392640,0.1,6,0.7636132458796265,-0.7636132458796265
lfu,fixed_block,43708348,0.001,300058,300058,0.004824536212739073,0.008014024542950162,0.006865004369417027,61194628,121877,588,synthetic_trace,46057652224,43708348416,0.0009489920977175686,1,0.0,0.3953590029761905
frequency_x_prefix_length,fixed_block,43708348,0.001,295936,295936,0.004742486277148273,0.004507888805409466,0.006770697442053861,61194628,121877,578,synthetic_trace,46057652224,43708348416,0.0009489920977175686,2,0.013737344113471396,0.3761904761904762
lru_2hit,fixed_block,43708348,0.001,249856,249856,0.004004036856831068,0.00576008014024543,0.005716436594675232,61194628,121877,488,synthetic_trace,46057652224,43708348416,0.0009489920977175686,3,0.1673076538535883,0.1619047619047619
structural,fixed_block,43708348,0.001,219136,219136,0.003511737243286264,0.00776358627598297,0.005013596029756147,61194628,121877,428,synthetic_trace,46057652224,43708348416,0.0009489920977175686,4,0.2696878603469996,0.01904761904761905
lru,fixed_block,43708348,0.001,215040,215040,0.0034460972948136236,0.005259203606311044,0.0049198839544336015,61194628,121877,420,synthetic_trace,46057652224,43708348416,0.0009489920977175686,5,0.28333855454612106,0.0
longest_first,fixed_block,43708348,0.001,167936,167936,0.0026912378873782585,0.0020035061357375405,0.0038421950882243363,61194628,121877,328,synthetic_trace,46057652224,43708348416,0.0009489920977175686,6,0.44032153783601835,-0.21904761904761905
lfu,fixed_block,109270871,0.0025,807988,807988,0.01298029981046465,0.01552717255196594,0.0073943585569112924,61194628,121877,1582,synthetic_trace,46057652224,43708348416,0.0023724802660058403,1,0.0,0.7379973155286343
frequency_x_prefix_length,fixed_block,109270871,0.0025,661504,661504,0.010600851678331432,0.004507888805409466,0.00605380001043462,61194628,121877,1292,synthetic_trace,46057652224,43708348416,0.0023724802660058403,2,0.18129477170453026,0.42290748898678415
structural,fixed_block,109270871,0.0025,624128,624128,0.010001887148518589,0.01076884547958928,0.005711750938637617,61194628,121877,1219,synthetic_trace,46057652224,43708348416,0.0023724802660058403,3,0.22755288444877894,0.34251101321585903
lru_2hit,fixed_block,109270871,0.0025,596992,596992,0.009567022489887346,0.01076884547958928,0.005463413941305547,61194628,121877,1166,synthetic_trace,46057652224,43708348416,0.0023724802660058403,4,0.26113754164665814,0.2841409691629956
longest_first,fixed_block,109270871,0.0025,585728,585728,0.009386512631587584,0.0027548209366391185,0.005360330659394122,61194628,121877,1144,synthetic_trace,46057652224,43708348416,0.0023724802660058403,5,0.2750783427476646,0.2599118942731278
lru,fixed_block,109270871,0.0025,464896,464896,0.007450134151644691,0.009015777610818933,0.004254528180707921,61194628,121877,908,synthetic_trace,46057652224,43708348416,0.0023724802660058403,6,0.4246251181948247,0.0
