trace,policy,capacity_fraction,population,horizon_seconds,seeds,population_size_mean,snapshots,auc_mean,auc_ci95_half,average_precision_mean,average_precision_ci95_half,precision_at_100_mean,precision_at_100_ci95_half,prevalence_mean,prevalence_ci95_half
conversation_trace,learned_history_observed_norm,0.001,cached,300,5,177.0,24,0.5976761835577755,0.030327450198130802,0.72596373321495,0.01504385781647276,0.658,0.025100999196579075,0.5950094161958568,0.037927188573610306
conversation_trace,learned_history_observed_norm,0.001,cached,600,5,177.0,24,0.5841071618900582,0.02798156740503807,0.7706901820878873,0.020100191801238315,0.7223333333333334,0.04103575567450628,0.6587099811676083,0.051029275812055706
conversation_trace,learned_history_observed_norm,0.001,leaves,60,5,13.533333333333335,24,0.5810562994346739,0.008358036147498978,0.49269569300432653,0.01953063079812627,0.28607322914746447,0.014689462494847491,0.2717184463498318,0.016762055600879733
conversation_trace,learned_history_observed_norm,0.001,leaves,300,5,13.533333333333335,24,0.5650312757954127,0.012682453987236214,0.7482414059108919,0.009079658098833557,0.623349773757088,0.005188229996649972,0.623349773757088,0.005188229996649972
conversation_trace,learned_history_observed_norm,0.001,leaves,600,5,13.533333333333335,24,0.5284404746045444,0.016796785946106885,0.769401804639452,0.00971688556429586,0.6699792515920613,0.01293135600325794,0.6699792515920613,0.01293135600325794
conversation_trace,learned_history_observed_norm,0.001,observed,60,5,40000.0,24,0.9002476840488913,0.0022762640629911987,0.14344238519758307,0.002830595983475402,0.2768333333333333,0.01736772649997049,0.011955,0.00020190046560399723
conversation_trace,learned_history_observed_norm,0.001,observed,300,5,40000.0,24,0.8768009862543711,0.0017616675488963886,0.31641298528622464,0.0035328101142455717,0.6534166666666666,0.015442258096247151,0.035940625,6.991019065160602e-05
conversation_trace,learned_history_observed_norm,0.001,observed,600,5,40000.0,24,0.8574209371703734,0.0019334393746192093,0.3660018782566392,0.0032348249869058256,0.7294166666666666,0.01646615651706394,0.04856020833333334,0.00014737687748780906
conversation_trace,learned_history_observed_norm,0.001,observed_protocol,60,5,40000.0,24,0.9025503467032046,0.001302734405187771,0.1452642460666157,0.0020346479492805475,0.27516666666666667,0.013930992442911058,0.011955,0.00020190046560399723
conversation_trace,learned_history_observed_norm,0.001,observed_protocol,300,5,40000.0,24,0.8803032680730241,0.0010129633917650616,0.3181280434981409,0.0024222666671240177,0.6515833333333333,0.009328213691091445,0.035940625,6.991019065160602e-05
conversation_trace,learned_history_observed_norm,0.001,observed_protocol,600,5,40000.0,24,0.8611100237072427,0.0010924896198723194,0.36822923765994664,0.0022172411136177875,0.7230000000000001,0.008407940400465374,0.04856020833333334,0.00014737687748780906
