evaluated_on,fitted_on,standardization,horizon_seconds,auc,auc_std,average_precision,precision_at_100,test_snapshots,mean_positive_states,mean_candidate_states
toolagent_trace,synthetic_trace,per_decision,600,0.7417047221097025,0.02064892399311774,0.17806176458847536,0.49333333333333335,24,1552.7083333333333,40000.0
toolagent_trace,toolagent_trace,per_decision,10,0.9364102418252118,0.030145839186711716,0.13689243076584343,0.10000000000000002,24,75.95833333333333,40000.0
toolagent_trace,toolagent_trace,per_decision,60,0.9378750876907375,0.012916862012859217,0.18368832033141413,0.3329166666666667,24,439.75,40000.0
toolagent_trace,toolagent_trace,per_decision,300,0.9390359856503571,0.0058618435289934994,0.37437970684470795,0.6870833333333334,24,1241.6666666666667,40000.0
toolagent_trace,toolagent_trace,per_decision,600,0.9385364153715194,0.007637149201487188,0.44140100699735063,0.7416666666666666,24,1552.7083333333333,40000.0
conversation_trace,conversation_trace,train_global,10,0.9033821311626934,0.04913672774355801,0.03648709610454397,0.043333333333333335,24,76.79166666666667,40000.0
conversation_trace,conversation_trace,train_global,60,0.9034781346375205,0.02570643345370449,0.14443185170872402,0.25458333333333333,24,482.2916666666667,40000.0
conversation_trace,conversation_trace,train_global,300,0.8805326734187225,0.01887003046215759,0.3146045200389515,0.6537499999999999,24,1440.0833333333333,40000.0
conversation_trace,conversation_trace,train_global,600,0.8602190300838647,0.012447179009596476,0.3577215055664944,0.7137500000000001,24,1941.2083333333333,40000.0
conversation_trace,synthetic_trace,train_global,10,0.7402728921365535,0.1413685343404306,0.016903021334325027,0.015,24,76.79166666666667,40000.0
conversation_trace,synthetic_trace,train_global,60,0.7189223491101192,0.05766889709944093,0.048660843377316486,0.12333333333333334,24,482.2916666666667,40000.0
conversation_trace,synthetic_trace,train_global,300,0.706478440849934,0.02247342060377942,0.1106028900449889,0.2658333333333333,24,1440.0833333333333,40000.0
conversation_trace,synthetic_trace,train_global,600,0.6913036084275103,0.018365554259811238,0.13058265729061247,0.30541666666666667,24,1941.2083333333333,40000.0
conversation_trace,toolagent_trace,train_global,10,0.9024496556799374,0.04814085129411542,0.03700742801415132,0.04416666666666667,24,76.79166666666667,40000.0
conversation_trace,toolagent_trace,train_global,60,0.9030787157797818,0.02509076480219549,0.14530029757763732,0.2525,24,482.2916666666667,40000.0
conversation_trace,toolagent_trace,train_global,300,0.8806268688434765,0.017960386453857995,0.3145075904871016,0.6475,24,1440.0833333333333,40000.0
conversation_trace,toolagent_trace,train_global,600,0.8606598447679948,0.01168789865440281,0.35781560138728147,0.7116666666666668,24,1941.2083333333333,40000.0
synthetic_trace,conversation_trace,train_global,10,0.7406733645549014,0.05358977374930685,0.07247016726403432,0.13333333333333333,24,1040.25,38685.125
synthetic_trace,conversation_trace,train_global,60,0.778014346125348,0.029393314741331462,0.3025370582301603,0.5170833333333333,24,5046.875,38685.125
synthetic_trace,conversation_trace,train_global,300,0.8368531789892625,0.01197788397160446,0.6743352770276602,0.8374999999999999,24,11838.541666666666,38685.125
synthetic_trace,synthetic_trace,train_global,10,0.5792604128816016,0.06639394442383068,0.043267836321821906,0.04125,24,1040.25,38685.125
synthetic_trace,synthetic_trace,train_global,60,0.5912614744921881,0.04421595522271515,0.19502069711181355,0.17625000000000002,24,5046.875,38685.125
synthetic_trace,synthetic_trace,train_global,300,0.5996202509354259,0.04290886908264158,0.45393775582404516,0.7170833333333334,24,11838.541666666666,38685.125
synthetic_trace,toolagent_trace,train_global,10,0.742289400222739,0.05327894733655715,0.07229034330826369,0.12374999999999999,24,1040.25,38685.125
