horizon_seconds,model,train_decisions,train_rows,train_prevalence,test_decisions,test_rows,within_decision_auc_micro,within_decision_auc_macro,pooled_auc,regret_when_avoidable,decisions,decisions_with_both_classes,prevalence,status,trace,capacity_fraction,seed,decisions_seen,decisions_kept
300,linear,20396,323787,0.4129721082069385,12869,205652,0.7049504937385636,0.7062033180861664,0.718822199078726,0.15813194498407024,12869,0.9993783510762297,0.45238558341275553,ok,conversation_trace,0.0025,0,273343,40000
300,recency,20396,323787,0.4129721082069385,12869,205652,0.37579674760148185,0.37392747684414346,0.3755294335759543,0.6897971870386199,12869,0.9993783510762297,0.45238558341275553,ok,conversation_trace,0.0025,0,273343,40000
600,arm,17070,270758,0.48908250171740075,9032,144328,0.5718530301869087,0.5713042882822669,0.5544363645861753,0.31930912311780335,9032,0.99988928255093,0.5156172052546977,ok,conversation_trace,0.0025,0,273343,40000
600,frequency,17070,270758,0.48908250171740075,9032,144328,0.6825131269779258,0.6824973723510707,0.6974803989760138,0.3133303808680248,9032,0.99988928255093,0.5156172052546977,ok,conversation_trace,0.0025,0,273343,40000
600,gbm,17070,270758,0.48908250171740075,9032,144328,0.6634689616368861,0.664778368276562,0.6722450979050058,0.30314437555358725,9032,0.99988928255093,0.5156172052546977,ok,conversation_trace,0.0025,0,273343,40000
600,gbm_plus_context,17070,270758,0.48908250171740075,9032,144328,0.6623034691859497,0.6638058538214944,0.6726868581054861,0.2788972542072631,9032,0.99988928255093,0.5156172052546977,ok,conversation_trace,0.0025,0,273343,40000
600,linear,17070,270758,0.48908250171740075,9032,144328,0.6828767008058441,0.6837431299194946,0.6995658764210724,0.23394596988485386,9032,0.99988928255093,0.5156172052546977,ok,conversation_trace,0.0025,0,273343,40000
600,recency,17070,270758,0.48908250171740075,9032,144328,0.3660272502789892,0.3652383361444512,0.36606718716556746,0.7528786536758193,9032,0.99988928255093,0.5156172052546977,ok,conversation_trace,0.0025,0,273343,40000
60,arm,22889,366224,0.1394365197256324,15779,252464,0.5649629639435032,0.5656007067721406,0.5690568430932791,0.08055009823182711,15779,0.9425185372964067,0.16836855947778692,ok,conversation_trace,0.01,0,259993,40000
60,frequency,22889,366224,0.1394365197256324,15779,252464,0.6135513956835077,0.614238190112421,0.6194530111380211,0.06337537233031244,15779,0.9425185372964067,0.16836855947778692,ok,conversation_trace,0.01,0,259993,40000
60,gbm,22889,366224,0.1394365197256324,15779,252464,0.6183924630632232,0.6212308257864715,0.6174931003528067,0.06597376259585525,15779,0.9425185372964067,0.16836855947778692,ok,conversation_trace,0.01,0,259993,40000
60,gbm_plus_context,22889,366224,0.1394365197256324,15779,252464,0.6249260129838939,0.6285104641679707,0.6228007327983188,0.067748273021104,15779,0.9425185372964067,0.16836855947778692,ok,conversation_trace,0.01,0,259993,40000
60,linear,22889,366224,0.1394365197256324,15779,252464,0.6637226295316456,0.6658999369055388,0.6674392538859921,0.04797515685404652,15779,0.9425185372964067,0.16836855947778692,ok,conversation_trace,0.01,0,259993,40000
60,recency,22889,366224,0.1394365197256324,15779,252464,0.43747458912386133,0.4368674061448234,0.43511583584102853,0.14373534444514863,15779,0.9425185372964067,0.16836855947778692,ok,conversation_trace,0.01,0,259993,40000
300,arm,20323,325168,0.3758580180091522,12908,206528,0.5790757083139805,0.579017946650405,0.5860262300253561,0.2407034397273009,12908,0.9997675859931825,0.43838123644251625,ok,conversation_trace,0.01,0,259993,40000
300,frequency,20323,325168,0.3758580180091522,12908,206528,0.6048005542128839,0.6046282575479108,0.6082214016054781,0.23101952277657267,12908,0.9997675859931825,0.43838123644251625,ok,conversation_trace,0.01,0,259993,40000
300,gbm,20323,325168,0.3758580180091522,12908,206528,0.5938356937239064,0.5943269765798582,0.5925339145894533,0.258444375581035,12908,0.9997675859931825,0.43838123644251625,ok,conversation_trace,0.01,0,259993,40000
300,gbm_plus_context,20323,325168,0.3758580180091522,12908,206528,0.5905883526074509,0.591051981161677,0.5902242275020259,0.24511930585683298,12908,0.9997675859931825,0.43838123644251625,ok,conversation_trace,0.01,0,259993,40000
300,linear,20323,325168,0.3758580180091522,12908,206528,0.642490048047528,0.6426014311090349,0.6442898987249883,0.1954601797334986,12908,0.9997675859931825,0.43838123644251625,ok,conversation_trace,0.01,0,259993,40000
300,recency,20323,325168,0.3758580180091522,12908,206528,0.4689003125319814,0.46862618602339157,0.4686536760107955,0.35799504183452124,12908,0.9997675859931825,0.43838123644251625,ok,conversation_trace,0.01,0,259993,40000
600,arm,17106,273696,0.44833318718578274,9120,145920,0.5709941096710089,0.5706197987715258,0.5763242652161098,0.2974780701754386,9120,1.0,0.5120408442982456,ok,conversation_trace,0.01,0,259993,40000
600,frequency,17106,273696,0.44833318718578274,9120,145920,0.5952992649440336,0.5948481372314638,0.5994349632564012,0.29331140350877194,9120,1.0,0.5120408442982456,ok,conversation_trace,0.01,0,259993,40000
600,gbm,17106,273696,0.44833318718578274,9120,145920,0.5591009151144853,0.5587002663667959,0.5590920434453137,0.36896929824561403,9120,1.0,0.5120408442982456,ok,conversation_trace,0.01,0,259993,40000
