trace,population,population_cell,split,horizon_seconds,target,model,model_cell,scoring,metric,rows,groups,prevalence,pooled_metric,within_decision_micro,within_decision_macro,decisions_scored,decisions_constant_label,decisions_constant_label_share,evicted_lowest_label_rate
synthetic_trace,candidates_lru,"l1=0.0025,l2x4",test,300.0,next_use,C_lru,"l1=0.0025,l2x4",raw,spearman,88059.0,5185.0,0.6939324770892242,0.1880327574864907,nan,0.17900656472282991,5185.0,0.0,0.0,0.33230472516875603
synthetic_trace,candidates_lru_train,"l1=0.0025,l2x4",train,300.0,next_use,C_lru,"l1=0.0025,l2x4",raw,spearman,153799.0,9062.0,0.37030149740895585,0.22964552815576023,nan,0.18276510705420781,8876.0,186.0,0.020525270359743986,0.8333701169719708
synthetic_trace,observed,,test,300.0,next_use,C_lru,"l1=0.0025,l2x4",raw,spearman,928443.0,24.0,0.3060230945787733,0.23863971260088299,nan,0.23367371861261388,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.0025,test,300.0,next_use,C_lru,"l1=0.0025,l2x4",raw,spearman,15460.0,0.0,0.6950194049159121,0.17906886942675027,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.01,l2x1",test,300.0,next_use,C_lru,"l1=0.01,l2x1",raw,spearman,90308.0,5319.0,0.8713181556451256,0.19423153977932908,nan,0.102451688594664,5319.0,0.0,0.0,0.33295732280503854
synthetic_trace,candidates_lfu_train,"l1=0.01,l2x1",train,300.0,next_use,C_lru,"l1=0.01,l2x1",raw,spearman,157533.0,9282.0,0.42780877657379723,0.310394093573555,nan,0.2595217905175979,9253.0,29.0,0.0031243266537384186,0.7941176470588235
synthetic_trace,candidates_lru,"l1=0.01,l2x1",test,300.0,next_use,C_lru,"l1=0.01,l2x1",raw,spearman,91017.0,5360.0,0.6856521309205973,0.17001595447900766,nan,0.1373464014336877,5357.0,3.0,0.0005597014925373135,0.32313432835820893
synthetic_trace,candidates_lru_train,"l1=0.01,l2x1",train,300.0,next_use,C_lru,"l1=0.01,l2x1",raw,spearman,157328.0,9269.0,0.36907607037526696,0.2423463488315195,nan,0.1784407440129663,9061.0,208.0,0.02244039270687237,0.8524112633509549
synthetic_trace,observed,,test,300.0,next_use,C_lru,"l1=0.01,l2x1",raw,spearman,928443.0,24.0,0.3060230945787733,0.1966878523815816,nan,0.19258048069698655,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.01,test,300.0,next_use,C_lru,"l1=0.01,l2x1",raw,spearman,15211.0,0.0,0.6918019854052988,0.1577589670759927,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.01,l2x4",test,300.0,next_use,C_lru,"l1=0.01,l2x4",raw,spearman,92309.0,5434.0,0.7591134125599888,-0.03155352839497375,nan,-0.04113122711775446,5434.0,0.0,0.0,0.24733161575266838
synthetic_trace,candidates_lfu_train,"l1=0.01,l2x4",train,300.0,next_use,C_lru,"l1=0.01,l2x4",raw,spearman,162163.0,9554.0,0.45049733909708134,0.28406818099775094,nan,0.20772551780951726,9535.0,19.0,0.0019886958342055683,0.7913962738120159
synthetic_trace,candidates_lru,"l1=0.01,l2x4",test,300.0,next_use,C_lru,"l1=0.01,l2x4",raw,spearman,91521.0,5390.0,0.6704144404016564,0.1391342556975214,nan,0.13221552812764437,5390.0,0.0,0.0,0.3365491651205937
synthetic_trace,candidates_lru_train,"l1=0.01,l2x4",train,300.0,next_use,C_lru,"l1=0.01,l2x4",raw,spearman,163630.0,9641.0,0.365464768074314,0.2175591993758125,nan,0.17405908268703674,9606.0,35.0,0.0036303288040659683,0.8596618608028213
synthetic_trace,observed,,test,300.0,next_use,C_lru,"l1=0.01,l2x4",raw,spearman,928443.0,24.0,0.3060230945787733,0.020255471902407094,nan,0.01600148753586417,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.01,test,300.0,next_use,C_lru,"l1=0.01,l2x4",raw,spearman,15211.0,0.0,0.6918019854052988,0.13216453564684913,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.02,l2x1",test,300.0,next_use,C_lru,"l1=0.02,l2x1",raw,spearman,93538.0,5507.0,0.7955483332976971,-0.1786273405252102,nan,-0.20935741003083494,5507.0,0.0,0.0,0.2357000181587071
synthetic_trace,candidates_lfu_train,"l1=0.02,l2x1",train,300.0,next_use,C_lru,"l1=0.02,l2x1",raw,spearman,162776.0,9589.0,0.4382955718287708,0.2785276090362667,nan,0.22721157083313412,9564.0,25.0,0.0026071540306601315,0.7681718635937012
synthetic_trace,candidates_lru,"l1=0.02,l2x1",test,300.0,next_use,C_lru,"l1=0.02,l2x1",raw,spearman,92217.0,5430.0,0.6701150547079172,-0.009882199199447628,nan,-0.011041297756451171,5430.0,0.0,0.0,0.29042357274401476
synthetic_trace,candidates_lru_train,"l1=0.02,l2x1",train,300.0,next_use,C_lru,"l1=0.02,l2x1",raw,spearman,162234.0,9559.0,0.36487419406536237,0.231746648327287,nan,0.17682856906998481,9511.0,48.0,0.005021445757924469,0.8585626111517941
synthetic_trace,observed,,test,300.0,next_use,C_lru,"l1=0.02,l2x1",raw,spearman,928443.0,24.0,0.3060230945787733,-0.12543245615208995,nan,-0.1309061533047204,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.02,test,300.0,next_use,C_lru,"l1=0.02,l2x1",raw,spearman,14982.0,0.0,0.6786143372046456,-0.032177279163154944,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.02,l2x4",test,300.0,next_use,C_lru,"l1=0.02,l2x4",raw,spearman,98869.0,5821.0,0.7014938959633454,-0.08420858693069377,nan,-0.053001312749404235,5821.0,0.0,0.0,0.15014602302009963
synthetic_trace,candidates_lfu_train,"l1=0.02,l2x4",train,300.0,next_use,C_lru,"l1=0.02,l2x4",raw,spearman,162381.0,9570.0,0.4279995812317944,0.294667896872236,nan,0.20486964409259412,9562.0,8.0,0.0008359456635318704,0.8507836990595611
synthetic_trace,candidates_lru,"l1=0.02,l2x4",test,300.0,next_use,C_lru,"l1=0.02,l2x4",raw,spearman,97846.0,5764.0,0.6465466140670032,-0.12493125551049027,nan,-0.10471370943561882,5764.0,0.0,0.0,0.17643997224149896
synthetic_trace,candidates_lru_train,"l1=0.02,l2x4",train,300.0,next_use,C_lru,"l1=0.02,l2x4",raw,spearman,168037.0,9900.0,0.36183102530990197,0.22973696786638703,nan,0.201874503379005,9882.0,18.0,0.0018181818181818182,0.8750505050505051
synthetic_trace,observed,,test,300.0,next_use,C_lru,"l1=0.02,l2x4",raw,spearman,928443.0,24.0,0.3060230945787733,0.1544965782303155,nan,0.1532716936000159,24.0,0.0,0.0,nan
synthetic_trace,victims,l1=0.02,test,300.0,next_use,C_lru,"l1=0.02,l2x4",raw,spearman,14982.0,0.0,0.6786143372046456,-0.07634427956666237,nan,nan,nan,nan,nan,nan
synthetic_trace,candidates_lfu,"l1=0.0025,l2x1",test,300.0,next_use,C_union,"l1=0.0025,l2x1",raw,spearman,87298.0,5137.0,0.9237897775435864,0.06735855800382189,nan,-0.02041911289653603,5132.0,5.0,0.0009733307377846992,0.17558886509635974
synthetic_trace,candidates_lfu_train,"l1=0.0025,l2x1",train,300.0,next_use,C_union,"l1=0.0025,l2x1",raw,spearman,150691.0,8875.0,0.2675873144381549,0.6217439688356505,nan,0.4843557999252512,6494.0,2381.0,0.2682816901408451,0.9554929577464789
